country,year,rate
Wisconsin,2016,306.9
Wyoming,2016,244.7
Alabama,2017,522.4
Alaska,2017,856.7
Arizona,2017,505.7
Arkansas,2017,566
California,2017,453.3
Colorado,2017,372.2
Connecticut,2017,229.2
Delaware,2017,457.3
Florida,2017,408.1
Georgia,2017,356.5
Hawaii,2017,251.2
Idaho,2017,239.2
Illinois,2017,436.2
Indiana,2017,395
Iowa,2017,287.5
Kansas,2017,400.4
Kentucky,2017,231.1
Louisiana,2017,556.3
Maine,2017,120.6
Maryland,2017,503.3
Massachusetts,2017,354.3
Michigan,2017,449.9
Minnesota,2017,239.7
Mississippi,2017,256.2
Missouri,2017,531.2
Montana,2017,373.9
Nebraska,2017,311.8
Nevada,2017,560.6
New Hampshire,2017,195.7
New Jersey,2017,231.8
New Mexico,2017,778.6
New York,2017,361.1
North Carolina,2017,370.4
North Dakota,2017,282.5
Ohio,2017,296.8
Oklahoma,2017,457.4
Oregon,2017,280.4
Pennsylvania,2017,313
Rhode Island,2017,234.2
South Carolina,2017,506.1
South Dakota,2017,429.8
Tennessee,2017,655
Texas,2017,437.8
Utah,2017,242.2
Vermont,2017,173.3
Virginia,2017,210.4
Washington,2017,302.8
West Virginia,2017,361.2
Wisconsin,2017,321.8
Wyoming,2017,234.6
Alabama,2018,523.1
Alaska,2018,891.7
Arizona,2018,475.7
Arkansas,2018,561.6
California,2018,447.5
Colorado,2018,401.5
Connecticut,2018,209.6
Delaware,2018,422.5
Florida,2018,385.9
Georgia,2018,338.9
Hawaii,2018,255
Idaho,2018,239.7
Illinois,2018,411.4
Indiana,2018,373.5
Iowa,2018,263.7
Kansas,2018,441.8
Kentucky,2018,217.9
Louisiana,2018,543.3
Maine,2018,112
Maryland,2018,469.4
Massachusetts,2018,340.3
Michigan,2018,452.5
Minnesota,2018,221.2
Mississippi,2018,266
Missouri,2018,501.4
Montana,2018,380.9
Nebraska,2018,289.9
Nevada,2018,552.1
New Hampshire,2018,177.6
New Jersey,2018,208.6
New Mexico,2018,842.8
New York,2018,350.8
North Carolina,2018,356.2
North Dakota,2018,284.1
Ohio,2018,294.8
Oklahoma,2018,474.6
Oregon,2018,290.4
Pennsylvania,2018,305.4
Rhode Island,2018,219.8
South Carolina,2018,500.8
South Dakota,2018,396.4
Tennessee,2018,630.4
Texas,2018,412.9
Utah,2018,239.4
Vermont,2018,185
Virginia,2018,204.2
Washington,2018,315.3
West Virginia,2018,299.9
Wisconsin,2018,299
Wyoming,2018,213.8
Alabama,2019,504.7
Alaska,2019,865
Arizona,2019,447.1
Arkansas,2019,580.8
California,2019,442.1
Colorado,2019,384.6
Connecticut,2019,184.6
Delaware,2019,422.7
Florida,2019,378.2
Georgia,2019,326.2
Hawaii,2019,264.5
Idaho,2019,232.6
Illinois,2019,415.3
Indiana,2019,371.5
Iowa,2019,287.6
Kansas,2019,405.5
Kentucky,2019,220.7
Louisiana,2019,559.7
Maine,2019,116.1
Maryland,2019,454.4
Massachusetts,2019,328.7
Michigan,2019,438.6
Minnesota,2019,237.5
Mississippi,2019,261.2
Missouri,2019,499.6
Montana,2019,417.9
Nebraska,2019,304.6
Nevada,2019,496.1
New Hampshire,2019,158.1
New Jersey,2019,206.7
New Mexico,2019,824
New York,2019,361
North Carolina,2019,378.7
North Dakota,2019,301.4
Ohio,2019,296
Oklahoma,2019,436.3
Oregon,2019,293.7
Pennsylvania,2019,306
Rhode Island,2019,222.7
South Carolina,2019,510.1
South Dakota,2019,397.1
Tennessee,2019,598.9
Texas,2019,421.8
Utah,2019,236.9
Vermont,2019,207.2
Virginia,2019,209.4
Washington,2019,303.3
West Virginia,2019,318.9
Wisconsin,2019,297.1
Wyoming,2019,215
Alabama,2020,453.6
Alaska,2020,837.8
Arizona,2020,484.8
Arkansas,2020,671.9
California,2020,442
Colorado,2020,423.1
Connecticut,2020,181.6
Delaware,2020,431.9
Florida,2020,383.6
Georgia,2020,400.1
Hawaii,2020,254.2
Idaho,2020,242.6
Illinois,2020,425.9
Indiana,2020,357.7
Iowa,2020,303.5
Kansas,2020,425
Kentucky,2020,259.1
Louisiana,2020,639.4
Maine,2020,108.6
Maryland,2020,399.9
Massachusetts,2020,308.8
Michigan,2020,478
Minnesota,2020,277.5
Mississippi,2020,291.2
Missouri,2020,542.7
Montana,2020,469.8
Nebraska,2020,334.1
Nevada,2020,460.3
New Hampshire,2020,146.4
New Jersey,2020,195.4
New Mexico,2020,778.3
New York,2020,363.8
North Carolina,2020,419.3
North Dakota,2020,329
Ohio,2020,308.8
Oklahoma,2020,458.6
Oregon,2020,291.9
Pennsylvania,2020,389.5
Rhode Island,2020,230.8
South Carolina,2020,530.7
South Dakota,2020,501.4
Tennessee,2020,672.7
Texas,2020,446.5
Utah,2020,260.7
Vermont,2020,173.4
Virginia,2020,208.7
Washington,2020,293.7
West Virginia,2020,355.9
Wisconsin,2020,323.4
Wyoming,2020,234.2
